# File S1. Bacterial ASV abundance table and taxonomic annotation for 28 coral colonies at baseline/control conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICN_G01,ICN_G02,ICN_G03,ICN_G04,ICN_G05,ICN_G06,ICN_G07,AF_G01,AF_G02,AF_G03,AF_G04,AF_G05,AF_G06,AF_G07,ExT_G01,PrT_G01,ExT_G02,PrT_G02,ExT_G03,PrT_G03,ExT_G04,PrT_G04,ExT_G05,PrT_G05,ExT_G06,PrT_G06,ExT_G07,PrT_G07,Phylum,Class,Order,Family,Genus,Species
ASV0013,0,0,0,0,0,0,0,1618,267,618,1148,418,226,574,2200,156,234,193,604,217,1012,244,451,1049,1630,3442,1124,2093,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,NA
ASV0014,7760,5262,5638,843,5132,799,4428,266,0,203,408,380,83,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0015,0,0,45,17,0,127,22,453,128,120,374,137,142,202,650,129,160,133,268,155,459,131,0,180,176,280,125,164,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nautella,NA
ASV0016,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,195,10,7060,17,520,44,338,0,1378,0,0,13,4,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Simkania,NA
ASV0017,0,0,0,0,0,0,0,1357,405,260,1068,298,236,846,1357,266,312,344,2522,1081,1803,496,391,899,1279,1171,1067,973,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0018,0,0,0,0,0,0,0,287,54,51,199,96,0,136,1735,313,209,575,1017,425,1134,364,220,590,977,1252,464,840,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
ASV0019,0,0,0,0,89,0,0,1015,311,203,990,312,190,812,1103,197,206,313,2128,724,1242,450,272,829,897,846,765,646,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0020,0,0,0,0,0,0,0,204,18,38,183,55,39,132,1041,214,366,396,1703,463,875,505,423,1109,1111,1210,1446,1320,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0021,0,36,0,43,0,0,0,1281,226,180,960,293,210,766,609,181,177,293,2232,632,1056,368,259,661,1003,992,710,752,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0022,0,0,216,100,239,0,200,109,23,132,222,145,0,60,1214,378,0,187,311,924,5812,960,37,243,323,34,1091,94,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Kistimonas,NA
ASV0023,0,0,0,0,76,0,0,930,265,156,868,303,169,648,908,149,196,287,1972,611,1148,350,245,691,751,754,674,613,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0024,0,0,0,0,0,0,0,200,34,45,166,46,26,121,942,176,349,403,1472,383,806,448,335,900,969,1109,1165,1267,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,macleodii
ASV0025,0,0,0,0,0,0,0,152,15,48,173,74,34,150,1053,215,328,413,1632,409,760,401,374,819,1051,1063,1059,1022,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0026,0,0,0,0,0,0,34,605,159,122,375,173,68,331,569,135,102,121,292,202,380,136,190,422,750,584,548,884,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,abyssi
ASV0027,0,0,0,0,0,0,0,204,25,43,147,56,30,122,954,159,332,366,1493,367,670,374,290,658,809,949,984,975,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0028,0,0,0,0,0,0,0,485,89,192,445,180,83,156,755,0,109,0,220,0,325,92,169,436,669,1177,433,633,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,NA
ASV0029,0,0,0,0,199,0,0,911,456,400,272,452,819,937,101,0,642,133,0,0,89,0,686,163,223,336,211,201,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0030,38,0,0,0,0,0,0,738,330,227,223,255,355,377,189,110,1359,656,282,176,232,36,538,337,250,228,344,358,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV0031,0,0,0,0,0,0,0,151,30,23,166,51,0,131,399,152,115,116,295,167,291,71,153,220,413,527,565,575,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA
ASV0032,0,0,0,0,0,0,0,1419,475,854,417,414,870,613,1075,203,135,207,376,350,618,129,29,73,65,104,0,101,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA
ASV0033,0,0,0,0,0,0,0,440,91,179,368,138,105,170,749,0,73,56,184,0,309,77,127,391,558,1085,414,577,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,NA
ASV0034,0,0,0,0,0,0,0,317,183,73,590,261,159,641,242,27,202,439,443,99,373,56,307,335,446,350,582,330,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV0035,0,0,0,0,0,0,0,466,61,65,385,118,65,306,757,119,151,187,1192,262,732,287,188,405,580,590,511,687,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0036,0,0,0,0,0,0,0,280,100,156,166,120,79,156,1866,251,212,337,651,1057,1484,236,21,0,32,34,20,27,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV0037,58,97,450,0,77,0,1566,0,0,0,0,0,0,65,0,840,0,601,0,2055,0,1004,0,375,0,0,0,138,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,0,173,0,111,0,595,0,0,0,0,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Simkania,NA
ASV0039,0,0,0,0,95,0,0,1243,636,463,475,508,662,755,41,0,587,31,0,0,83,0,157,41,54,62,137,57,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0040,0,0,0,0,0,0,0,119,33,31,148,49,45,131,973,160,241,311,890,269,812,245,193,251,330,239,676,509,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
ASV0041,0,0,0,0,0,178,0,31,85,49,0,0,61,75,1719,297,186,308,489,471,1005,165,0,0,0,47,25,88,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,NA
ASV0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,0,163,0,174,0,436,0,0,0,0,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Simkania,NA
ASV0043,1671,852,1092,148,1135,170,970,93,0,0,93,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0044,0,0,0,0,0,0,0,716,167,187,275,188,212,506,0,0,371,0,0,0,0,0,352,88,153,345,89,157,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
ASV0045,0,0,0,0,0,0,0,311,94,71,253,216,108,157,161,47,198,167,379,107,241,65,307,258,284,266,432,235,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0046,0,0,0,0,0,0,0,278,369,105,278,149,184,242,35,0,94,275,102,34,197,12,1467,76,111,32,118,62,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospira,grandis
ASV0047,0,0,0,0,0,0,0,237,181,177,199,296,285,217,0,0,323,200,47,0,0,0,252,102,126,271,95,152,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0048,0,0,0,0,0,0,0,457,204,169,165,207,330,248,0,0,364,199,116,0,91,0,292,198,308,290,177,397,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV0049,160,0,0,0,0,0,0,250,31,37,222,67,28,77,226,95,174,154,846,430,544,121,44,415,200,215,413,286,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus,NA
ASV0050,0,0,0,0,0,0,0,905,120,336,1177,163,142,139,159,0,137,73,356,49,260,37,135,153,176,213,149,139,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
ASV0051,0,0,0,0,0,0,0,198,162,45,92,196,145,158,89,35,949,374,290,79,160,0,202,152,107,68,104,184,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0052,0,0,0,69,0,154,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0053,0,0,0,66,0,14,0,476,96,87,341,86,117,317,360,84,59,97,123,123,236,77,0,0,0,0,52,55,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nautella,NA
ASV0054,0,0,0,0,0,0,0,58,14,9,40,0,0,76,243,91,93,122,223,218,241,106,151,231,258,365,399,322,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,NA
ASV0055,0,0,0,0,0,0,0,805,417,244,319,218,393,429,21,0,141,0,24,0,48,0,153,85,127,154,95,91,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,NA
ASV0056,0,0,0,0,0,0,0,169,48,126,216,212,145,234,113,0,91,181,237,0,135,52,177,133,166,212,147,88,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,30,36,54,147,0,197,27,161,182,256,579,112,267,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,NA
ASV0058,0,192,0,0,0,0,0,0,197,0,0,0,16,311,365,177,94,114,216,195,268,68,0,19,31,0,0,34,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia,NA
ASV0059,0,0,0,0,0,0,0,159,147,130,164,137,198,223,39,0,161,0,0,0,0,0,137,0,123,154,37,181,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV0060,155,0,65,15,0,42,0,204,221,154,83,46,236,266,140,53,85,54,379,30,147,14,176,0,51,43,287,71,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola,NA
ASV0061,0,0,0,0,0,0,0,270,61,60,189,66,42,167,231,32,0,56,419,178,286,58,0,137,138,149,219,142,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0062,0,0,0,0,0,0,0,188,53,72,158,42,60,94,0,27,58,102,476,0,224,26,113,261,96,100,99,56,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
ASV0063,0,0,0,0,0,0,0,74,0,0,82,0,0,101,220,67,0,0,306,112,342,56,153,197,180,105,582,126,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oleibacter,NA
ASV0064,95,108,73,17,0,0,72,0,0,0,0,0,0,0,0,0,0,0,93,148,218,0,0,0,0,0,54,0,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,NA
ASV0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21,8,0,19,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,NA
ASV0067,0,0,0,0,0,0,0,310,206,190,184,159,229,222,0,0,126,42,0,0,0,0,136,58,119,137,0,81,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
ASV0068,0,0,0,0,0,5964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,NA
ASV0069,0,24,0,0,0,0,0,17,0,0,85,19,0,28,304,197,0,61,206,329,390,186,38,107,252,181,106,114,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0070,0,0,0,0,0,0,0,268,180,227,114,120,213,122,0,0,85,0,0,0,0,0,75,0,92,150,40,85,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV0071,0,0,0,0,0,0,0,164,87,83,90,103,135,131,0,0,95,0,0,0,16,0,0,0,27,0,0,0,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV0073,0,235,38,809,0,1534,0,177,164,59,66,109,208,211,0,0,0,0,0,0,198,0,0,0,38,0,0,126,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
ASV0074,0,0,0,0,0,0,0,330,74,132,406,209,91,367,0,0,53,29,93,62,53,0,33,75,152,126,106,42,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,NA
ASV0075,0,0,0,0,0,28,0,22,115,64,0,206,36,102,0,0,0,0,0,0,141,0,74,0,0,0,0,33,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0076,88,181,544,192,1493,217,227,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,PeM15,NA,NA,NA
ASV0077,0,0,0,0,0,0,0,281,0,0,206,0,0,0,0,0,0,0,26,0,0,0,0,22,45,0,0,55,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
ASV0078,0,0,0,0,0,0,0,98,181,66,0,51,400,114,0,0,286,0,0,0,0,0,0,0,0,39,0,0,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureivirga,NA
ASV0079,0,7,0,4727,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Roseitalea,NA
ASV0080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Candidatus_Endoecteinascidia,NA
ASV0081,0,0,0,0,0,0,0,0,513,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,NA,NA
ASV0082,0,0,0,0,0,0,0,174,0,0,0,0,0,101,237,0,69,84,0,106,184,0,79,0,92,214,78,102,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,NA
ASV0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,254,61,200,36,9,0,52,63,0,27,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,NA
ASV0084,0,459,0,785,0,0,0,0,123,0,0,62,76,56,67,0,0,0,0,0,0,0,0,0,0,0,35,192,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
ASV0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,14,0,30,8,67,0,33,55,171,226,171,169,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Lutimaribacter,NA
ASV0086,0,556,0,17,0,49,0,71,167,74,0,85,356,438,0,0,0,0,0,0,166,0,0,0,0,58,17,342,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
ASV0087,0,0,0,0,0,0,0,73,32,0,209,61,0,41,76,0,53,103,44,0,97,0,61,0,97,66,91,46,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0088,0,0,61,0,0,0,0,70,13,37,34,38,24,106,205,97,36,53,220,139,217,53,56,75,57,100,80,41,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,NA
ASV0089,0,0,2850,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV0090,0,0,0,4177,133,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,NA
ASV0091,0,0,0,0,0,0,0,137,0,0,79,0,0,0,194,0,0,0,0,0,116,0,0,90,123,292,95,152,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,NA
ASV0092,0,0,0,0,0,0,0,374,56,341,299,255,263,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
ASV0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,171,110,230,109,194,132,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV0094,0,0,0,0,0,0,0,12,0,0,0,0,0,0,100,0,0,0,0,23,41,0,29,67,120,161,0,147,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV0095,0,0,0,0,0,0,0,51,37,7,17,6,0,50,320,70,36,93,223,139,229,58,0,0,0,17,11,0,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA,NA
ASV0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,29,44,0,0,15,73,114,162,48,96,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA,NA
ASV0097,0,0,0,0,0,591,0,62,197,163,0,92,98,179,0,0,0,0,0,0,0,0,0,0,0,0,0,307,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
ASV0098,0,0,0,0,0,0,0,132,28,32,52,33,63,73,0,0,155,0,22,0,34,0,152,87,85,152,107,139,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,88,164,142,149,192,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,NA
ASV0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,118,0,39,0,0,0,230,0,282,0,225,Proteobacteria,Gammaproteobacteria,Oceanospirillales,NA,NA,NA
ASV0101,183,129,470,160,489,179,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna,NA
ASV0102,0,0,0,0,0,0,0,165,50,123,127,63,82,77,47,0,27,0,13,0,24,0,55,16,58,122,71,49,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Lacimicrobium,NA
ASV0104,0,0,0,0,0,0,0,173,46,39,354,139,19,71,0,6,0,50,0,0,0,19,61,125,100,86,133,24,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas,NA
ASV0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,135,0,0,0,0,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Simkania,NA
ASV0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,154,120,199,0,130,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA
ASV0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,176,38,0,65,201,294,91,32,0,350,60,84,151,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0108,0,0,0,0,0,0,0,42,0,0,56,13,0,13,412,36,36,48,217,96,245,48,10,0,0,21,19,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,0,0,0,24,0,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter,NA
ASV0110,0,0,0,0,0,0,0,8,0,0,0,0,0,0,86,33,0,10,0,92,329,18,0,0,47,121,90,103,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,NA,NA
ASV0111,0,0,0,0,0,0,0,30,0,0,47,8,0,22,236,35,52,70,71,125,125,38,12,20,0,0,0,19,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
ASV0112,0,0,0,0,0,0,0,0,225,255,0,121,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,NA
ASV0113,0,0,0,0,0,0,0,33,577,15,30,0,0,0,0,0,3,871,0,0,0,0,0,0,0,0,0,0,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA
ASV0114,0,0,0,0,0,0,0,82,22,11,55,22,26,56,201,31,21,49,179,94,121,52,42,69,106,130,127,101,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0115,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0116,565,324,829,0,427,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,57,0,72,192,170,190,50,145,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cribrihabitans,NA
ASV0118,0,0,0,0,0,0,0,55,0,362,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Anaeromicrobium,NA
ASV0119,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
ASV0120,0,0,0,0,0,0,0,3,0,0,10,2,0,8,21,1,31,19,202,35,84,10,37,148,133,98,181,52,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,NA
ASV0121,0,0,0,0,0,0,0,15,192,150,0,21,40,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Ferrimonas,NA
ASV0122,146,175,205,167,275,122,0,8,0,0,19,0,0,0,0,14,0,0,61,0,18,24,0,0,26,28,0,13,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA
ASV0123,0,26,0,0,0,1094,0,59,63,45,0,43,53,170,0,0,0,0,0,0,0,0,0,0,0,97,0,106,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
ASV0124,0,0,0,0,0,0,0,93,38,0,44,22,0,111,66,45,14,0,122,29,62,34,0,31,40,56,97,91,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA
